State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount,Region
Andhra Pradesh,2018,1,Recharge & bill payments,5027448,892293975.7,Southern Region
Andhra Pradesh,2018,1,Peer-to-peer payments,3049646,10524250283,Southern Region
Andhra Pradesh,2018,1,Merchant payments,362672,247297640.2,Southern Region
Andhra Pradesh,2018,1,Financial Services,204305,44808449.76,Southern Region
Andhra Pradesh,2018,1,Others,395514,287626043,Southern Region
Andhra Pradesh,2018,2,Recharge & bill payments,6456387,1598591488,Southern Region
Andhra Pradesh,2018,2,Peer-to-peer payments,4745000,20451493099,Southern Region
Andhra Pradesh,2018,2,Merchant payments,604847,436785223.9,Southern Region
Andhra Pradesh,2018,2,Financial Services,225621,68952114.81,Southern Region
Andhra Pradesh,2018,2,Others,322063,328092346.6,Southern Region
Andhra Pradesh,2018,3,Peer-to-peer payments,16129591,32738630445,Southern Region
Andhra Pradesh,2018,3,Recharge & bill payments,7542005,1949098147,Southern Region
Andhra Pradesh,2018,3,Merchant payments,1225416,685277254.5,Southern Region
Andhra Pradesh,2018,3,Financial Services,380324,60790077.57,Southern Region
Andhra Pradesh,2018,3,Others,348725,284248675.6,Southern Region
Andhra Pradesh,2018,4,Peer-to-peer payments,17580086,47011639726,Southern Region
Andhra Pradesh,2018,4,Recharge & bill payments,9767083,2418164314,Southern Region
Andhra Pradesh,2018,4,Merchant payments,2622131,1671585889,Southern Region
Andhra Pradesh,2018,4,Financial Services,400837,57178116.4,Southern Region
Andhra Pradesh,2018,4,Others,389411,315211361.3,Southern Region
Andhra Pradesh,2019,1,Peer-to-peer payments,37420988,77524329742,Southern Region
Andhra Pradesh,2019,1,Recharge & bill payments,14022264,3480641602,Southern Region
Andhra Pradesh,2019,1,Merchant payments,5043682,2423536770,Southern Region
Andhra Pradesh,2019,1,Financial Services,416325,47150177.53,Southern Region
Andhra Pradesh,2019,1,Others,361263,284937624.5,Southern Region
Andhra Pradesh,2019,2,Peer-to-peer payments,32494402,1.03925E+11,Southern Region
Andhra Pradesh,2019,2,Recharge & bill payments,14093964,4708345388,Southern Region
Andhra Pradesh,2019,2,Merchant payments,9226537,4613405203,Southern Region
Andhra Pradesh,2019,2,Financial Services,145310,26626696.77,Southern Region
Andhra Pradesh,2019,2,Others,448802,361492238.4,Southern Region
Andhra Pradesh,2019,3,Peer-to-peer payments,39023491,1.24339E+11,Southern Region
Andhra Pradesh,2019,3,Recharge & bill payments,20147629,6893984677,Southern Region
Andhra Pradesh,2019,3,Merchant payments,16581787,7887394038,Southern Region
Andhra Pradesh,2019,3,Financial Services,122270,29778183.03,Southern Region
Andhra Pradesh,2019,3,Others,413437,298142027.6,Southern Region
Andhra Pradesh,2019,4,Peer-to-peer payments,57181511,1.78894E+11,Southern Region
Andhra Pradesh,2019,4,Merchant payments,25122370,13476303368,Southern Region
Andhra Pradesh,2019,4,Recharge & bill payments,24469888,8335168606,Southern Region
Andhra Pradesh,2019,4,Financial Services,105662,26796571.75,Southern Region
Andhra Pradesh,2019,4,Others,338672,216496893.2,Southern Region
Andhra Pradesh,2020,1,Peer-to-peer payments,65452143,2.23089E+11,Southern Region
Andhra Pradesh,2020,1,Merchant payments,31408022,18603161784,Southern Region
Andhra Pradesh,2020,1,Recharge & bill payments,30449644,10813530778,Southern Region
Andhra Pradesh,2020,1,Financial Services,75238,43739133.17,Southern Region
Andhra Pradesh,2020,1,Others,292310,188228538.4,Southern Region
Andhra Pradesh,2020,2,Peer-to-peer payments,73609921,2.62732E+11,Southern Region
Andhra Pradesh,2020,2,Recharge & bill payments,41013987,16991006437,Southern Region
Andhra Pradesh,2020,2,Merchant payments,29976765,22625596525,Southern Region
Andhra Pradesh,2020,2,Financial Services,140941,145274999.2,Southern Region
Andhra Pradesh,2020,2,Others,176241,90087654.6,Southern Region
Andhra Pradesh,2020,3,Peer-to-peer payments,106791894,4.06462E+11,Southern Region
Andhra Pradesh,2020,3,Merchant payments,54055557,40739580214,Southern Region
Andhra Pradesh,2020,3,Recharge & bill payments,43500067,19475104675,Southern Region
Andhra Pradesh,2020,3,Financial Services,243088,256074924.7,Southern Region
Andhra Pradesh,2020,3,Others,312329,151582519.2,Southern Region
Andhra Pradesh,2020,4,Peer-to-peer payments,152003791,5.66639E+11,Southern Region
Andhra Pradesh,2020,4,Merchant payments,86581460,66654048150,Southern Region
Andhra Pradesh,2020,4,Recharge & bill payments,46810304,20936337212,Southern Region
Andhra Pradesh,2020,4,Financial Services,265470,305168772.5,Southern Region
Andhra Pradesh,2020,4,Others,457527,306853355.6,Southern Region
Andhra Pradesh,2021,1,Peer-to-peer payments,149313738,5.80542E+11,Southern Region
Andhra Pradesh,2021,1,Merchant payments,97920281,70813192713,Southern Region
Andhra Pradesh,2021,1,Recharge & bill payments,41940689,20546424964,Southern Region
Andhra Pradesh,2021,1,Financial Services,225355,270313028.5,Southern Region
Andhra Pradesh,2021,1,Others,347907,272546457.6,Southern Region
Andhra Pradesh,2021,2,Peer-to-peer payments,189614879,7.37004E+11,Southern Region
Andhra Pradesh,2021,2,Merchant payments,112875274,88512429437,Southern Region
Andhra Pradesh,2021,2,Recharge & bill payments,49626902,24646800345,Southern Region
Andhra Pradesh,2021,2,Financial Services,243237,265483044.4,Southern Region
Andhra Pradesh,2021,2,Others,406842,308302224.4,Southern Region
Andhra Pradesh,2021,3,Peer-to-peer payments,221280317,8.37841E+11,Southern Region
Andhra Pradesh,2021,3,Merchant payments,158290953,1.18164E+11,Southern Region
Andhra Pradesh,2021,3,Recharge & bill payments,51702350,27511344958,Southern Region
Andhra Pradesh,2021,3,Financial Services,211171,297239697.8,Southern Region
Andhra Pradesh,2021,3,Others,547759,403948275.6,Southern Region
Andhra Pradesh,2021,4,Peer-to-peer payments,262006450,9.7127E+11,Southern Region
Andhra Pradesh,2021,4,Merchant payments,207538904,1.52884E+11,Southern Region
Andhra Pradesh,2021,4,Recharge & bill payments,51762842,31232784714,Southern Region
Andhra Pradesh,2021,4,Financial Services,243951,332740108.7,Southern Region
Andhra Pradesh,2021,4,Others,701856,545223415.7,Southern Region
Andhra Pradesh,2022,1,Peer-to-peer payments,288488560,1.08963E+12,Southern Region
Andhra Pradesh,2022,1,Merchant payments,242031836,1.6942E+11,Southern Region
Andhra Pradesh,2022,1,Recharge & bill payments,51224170,34473036842,Southern Region
Andhra Pradesh,2022,1,Financial Services,231651,324358965.1,Southern Region
Andhra Pradesh,2022,1,Others,627694,474382234.3,Southern Region
Andhra Pradesh,2022,2,Peer-to-peer payments,321362337,1.23141E+12,Southern Region
